Place,Bib,Name,Time,State,Country,Citizenship
1,3,Lelisa Desisa,2:05:59,,Ethiopia,ETH
2,2,Shura Kitata,2:06:01,,Ethiopia,ETH
3,1,Geoffrey Kamworor,2:06:26,,Kenya,KEN
4,4,Tamirat Tola,2:08:30,,Ethiopia,ETH
5,5,Daniel Wanjiru,2:10:21,,Kenya,KEN
6,15,Jared Ward,2:12:24,UT,United States,USA
7,18,Scott Fauble,2:12:28,AZ,United States,USA
8,6,Festus Talam,2:12:40,,Kenya,KEN
9,11,Shadrack Biwott,2:12:52,CA,United States,USA
10,19,Chris Derrick,2:13:08,OR,United States,USA
11,9,Juan Luis Barrios,2:13:55,,Mexico,MEX
12,443,Tadesse Yae Dabi,2:13:57,NY,United States,ETH
13,12,Tim Ritchie,2:15:22,MA,United States,USA
14,16,Ryan Vail,2:15:31,OR,United States,USA
15,21,Jonny Mellor,2:16:09,,United Kingdom,GBR
16,28,Harbert Okuti,2:16:51,NY,United States,UGA
17,17,Scott Smith,2:17:12,AZ,United States,USA
18,10,Bernard Lagat,2:17:20,AZ,United States,USA
19,440,Girma Bekele Gebre,2:18:18,NY,United States,ETH
20,27,Birhanu Dare Kemal,2:18:20,NY,United States,ETH
21,29,Mizael Carrera,2:19:29,NM,United States,PUR
22,444,Suleman Abrar Shifa,2:19:45,NY,United States,ETH
23,446,Diriba Degefa Yigezu,2:20:01,NY,United States,ETH
24,448,Temesgen Habtemariam Bekele,2:20:16,NY,United States,ETH
25,23,Andrew Davies,2:20:23,,United Kingdom,GBR
26,20,Florent Caelen,2:22:53,,Belgium,BEL
27,1172,Jeremy Bennie,2:23:16,NY,United States,USA
28,457,Matt Gillespie,2:25:05,MA,United States,GBR
29,445,Luis Rivero,2:25:25,,Guatemala,GUA
30,1188,Derrick Hamel,2:25:43,NH,United States,USA
31,1223,Aliaksandr Leuchanka,2:26:11,NH,United States,USA
32,22,Alex Monroe,2:26:28,CO,United States,USA
33,24,Nicholas Hilton,2:26:31,AZ,United States,USA
34,453,Daniel Glaz,2:26:45,IL,United States,USA
35,455,Nick McCormick,2:27:35,,United Kingdom,GBR
36,1147,Felix Plinke,2:27:43,,Germany,GER
37,544,James Kelly,2:27:49,NY,United States,USA
38,554,David Kilgore,2:28:01,NY,United States,USA
39,449,Jack St Marie,2:28:05,CA,United States,USA
40,1153,Matthew Beamer,2:28:08,IL,United States,USA
41,1148,Cristian Marianelli,2:28:35,,Italy,ITA
42,1155,Peter Lighting,2:28:41,,United Kingdom,USA
43,1216,Sean Fitzpatrick,2:28:43,,United Kingdom,GBR
44,1150,Raul Fernandez,2:28:43,,Spain,ESP
45,1310,Lucas Baez,2:28:53,,Argentina,ARG
46,14,Chris Thompson,2:28:54,,United Kingdom,GBR
47,1195,Massi Milani,2:28:55,Va,Italy,ITA
48,2454,Charles Sandison,2:29:02,CT,United States,GBR
49,1160,Alex Price,2:29:18,PA,United States,USA
50,442,Abu Kebede Diriba,2:29:25,NY,United States,ETH
51,549,Daniele Meucci,2:29:38,,Italy,ITA
52,1149,Lawrence Avery,2:29:47,UK,United Kingdom,GBR
53,535,Andre Borgen,2:29:49,,Norway,NOR
54,1171,Conor Cashin,2:29:54,MA,United States,USA
55,1244,Yipeng Li,2:30:07,,China,CHN
56,602,Stuart Haynes,2:30:18,NJ,United States,GBR
57,469,Martin Kjall-Ohlsson,2:30:33,,Norway,SWE
58,1164,Eric Bowles,2:30:56,CA,United States,USA
59,1032,Jerome Joussemet,2:30:57,,France,FRA
60,1256,Chris Hartshorn,2:31:13,MA,United States,NZL
61,1228,Robert Heczko,2:31:15,,Czech Republic,CZE
62,461,Tim Rossi,2:31:19,NY,United States,USA
63,1163,Jonathan Tipper,2:31:22,,United Kingdom,GBR
64,890,Jordan Odonoghue,2:31:29,NY,United States,GBR
65,1156,Steven McElligott,2:31:40,QC,Canada,CAN
66,478,Joe Viavattine,2:31:51,MN,United States,USA
67,1427,Sjef Kimpe,2:32:03,,Netherlands,NED
68,464,Grzegorz Gronostaj,2:32:03,,Poland,POL
69,1411,Jonnathan Varela,2:32:08,,Costa Rica,CRC
70,1390,Damien Bruneau,2:32:46,,Australia,GBR
71,542,Hashem Zikry,2:32:51,NY,United States,USA
72,585,Felix Cancre,2:33:06,NY,United States,USA
73,1262,Connor Martin,2:33:19,CO,United States,USA
74,586,Andrea Fraquelli,2:33:30,,United Kingdom,GBR
75,2052,Seth Woodring,2:33:46,CO,United States,USA
76,476,Tim Jeffreys,2:33:48,NY,United States,USA
77,2097,Kieran Little,2:33:53,,Ireland,IRL
78,1599,Matt Lindgren,2:34:26,IL,United States,USA
79,1238,Ciaran McGonagle,2:34:38,,Ireland,IRL
80,1181,Stefano Ghenda,2:34:44,TV,Italy,ITA
81,569,John Paulett,2:34:47,NY,United States,USA
82,479,Michael Wardian,2:34:54,VA,United States,USA
83,465,Calum Neff,2:34:54,TX,United States,CAN
84,458,Hugh Parker,2:35:08,NY,United States,USA
85,1180,Narciso Mejia,2:35:08,NY,United States,USA
86,470,David Roeske,2:35:13,NY,United States,USA
87,1233,William Warren,2:35:25,MA,United States,USA
88,1253,Jonathan Rosenbrier,2:35:37,,United Kingdom,GBR
89,1315,Chris Gabrielson,2:35:47,MA,United States,USA
90,1035,Mateusz Landuch,2:35:48,,Poland,POL
91,471,Ole Kristian Heggheim,2:35:52,,Norway,NOR
92,1271,Laurent Michellier,2:35:58,,France,FRA
93,1043,Giuseppe Del Priore,2:36:03,,Italy,ITA
94,2057,Connor Hesselbirg,2:36:06,NY,United States,USA
95,1323,Pal Oraug,2:36:18,,Norway,NOR
96,1224,Jarrod McMullen,2:36:19,,Australia,AUS
97,676,Oz Pearlman,2:36:23,NY,United States,USA
98,1166,Franklin Castillo Castillo,2:36:26,,Costa Rica,PAN
99,596,Stephen Bione,2:36:31,NY,United States,USA
100,1279,Travis Haslam,2:36:33,,Australia,AUS
,,,,,,
